,OpenTime,MKR-USD_Open,MKR-USD_High,MKR-USD_Low,MKR-USD_Close,MKR-USD_volume,CloseTime,MKR-QuoteAssetVolume,MKR-NumberOfTrades,MKR-TBBAV,MKR-TBQAV,MKR-ignore
0,2020-07-23 19:30:00,509.5,845.0,509.5,560.0,6351.7179,2020-07-23 20:29:59.999,3961617.3168133,13067.0,3541.40612,2207963.0291055,0.0
1,2020-07-23 20:30:00,558.0,569.48,545.69,548.52,855.71992,2020-07-23 21:29:59.999,475630.1993773,1450.0,356.73603,198727.2677213,0.0
2,2020-07-23 21:30:00,549.71,549.88,532.35,548.81,552.15203,2020-07-23 22:29:59.999,298923.9270398,1349.0,278.22112,150871.2237421,0.0
3,2020-07-23 22:30:00,548.81,552.17,535.0,535.19,301.5902,2020-07-23 23:29:59.999,164224.8602902,593.0,105.186,57659.5047839,0.0
4,2020-07-23 23:30:00,535.29,538.06,522.39,527.73,154.074,2020-07-24 00:29:59.999,81692.5124582,318.0,77.93927,41294.9654325,0.0
5,2020-07-24 00:30:00,527.65,533.23,522.0,533.1,158.4528,2020-07-24 01:29:59.999,83486.7040475,257.0,51.15797,27007.6789031,0.0
6,2020-07-24 01:30:00,533.1,533.38,518.11,519.0,298.50603,2020-07-24 02:29:59.999,156374.8190891,306.0,105.05188,55191.6790259,0.0
7,2020-07-24 02:30:00,519.03,538.22,518.11,533.29,150.62724,2020-07-24 03:29:59.999,80001.6556842,265.0,102.60278,54505.4259227,0.0
8,2020-07-24 03:30:00,533.3,543.38,529.87,530.8,196.92611,2020-07-24 04:29:59.999,105651.8477139,253.0,63.57442,34199.6055198,0.0
9,2020-07-24 04:30:00,530.8,530.8,525.6,529.32,65.62369,2020-07-24 05:29:59.999,34643.3594764,99.0,10.5541,5583.4060144,0.0
10,2020-07-24 05:30:00,530.15,544.5,530.15,536.38,164.45002,2020-07-24 06:29:59.999,88716.8775023,250.0,85.50459,46138.7550518,0.0
11,2020-07-24 06:30:00,536.38,553.0,536.01,538.92,258.82731,2020-07-24 07:29:59.999,141697.3807445,406.0,125.44205,68664.7832825,0.0
12,2020-07-24 07:30:00,538.92,539.38,525.89,532.17,265.84924,2020-07-24 08:29:59.999,141492.9218083,450.0,93.05082,49280.6855719,0.0
13,2020-07-24 08:30:00,532.28,536.55,532.17,532.62,75.26487,2020-07-24 09:29:59.999,40287.2733397,76.0,62.03051,33218.2993565,0.0
14,2020-07-24 09:30:00,531.57,535.31,528.89,529.5,43.28763,2020-07-24 10:29:59.999,23043.5012716,67.0,13.71067,7307.5117967,0.0
15,2020-07-24 10:30:00,529.5,529.5,518.73,521.52,159.92267,2020-07-24 11:29:59.999,83423.8792361,193.0,32.00475,16693.6459344,0.0
16,2020-07-24 11:30:00,519.01,521.4,513.95,514.45,102.56993,2020-07-24 12:29:59.999,53000.3771642,132.0,28.11122,14513.3629255,0.0
17,2020-07-24 12:30:00,517.19,517.19,504.57,508.25,197.02145,2020-07-24 13:29:59.999,100242.5236948,273.0,40.61301,20695.555441,0.0
18,2020-07-24 13:30:00,508.39,509.8,505.72,509.8,62.18904,2020-07-24 14:29:59.999,31545.1281884,107.0,21.48718,10926.5184176,0.0
19,2020-07-24 14:30:00,509.71,510.79,507.48,507.94,65.55272,2020-07-24 15:29:59.999,33400.002905,154.0,23.43323,11946.2749901,0.0
20,2020-07-24 15:30:00,509.0,510.38,506.37,508.08,93.39486,2020-07-24 16:29:59.999,47458.9851795,156.0,25.91444,13183.606217,0.0
21,2020-07-24 16:30:00,506.78,509.35,503.11,509.35,240.23378,2020-07-24 17:29:59.999,121540.1418036,300.0,60.75516,30760.0493178,0.0
22,2020-07-24 17:30:00,508.49,516.29,508.49,511.01,143.88507,2020-07-24 18:29:59.999,73750.5448772,207.0,49.53637,25415.4216666,0.0
23,2020-07-24 18:30:00,511.16,511.16,508.7,508.87,30.28555,2020-07-24 19:29:59.999,15440.5639396,49.0,15.81189,8066.8725701,0.0
24,2020-07-24 19:30:00,509.11,518.64,509.11,518.5,136.99143,2020-07-24 20:29:59.999,70665.2454577,216.0,87.20955,45008.2302816,0.0
25,2020-07-24 20:30:00,518.53,520.85,514.13,514.13,44.77264,2020-07-24 21:29:59.999,23178.3472264,94.0,27.24887,14132.6328089,0.0
26,2020-07-24 21:30:00,514.23,521.83,513.28,515.45,60.19488,2020-07-24 22:29:59.999,31125.5898114,72.0,38.8575,20150.0846741,0.0
27,2020-07-24 22:30:00,513.01,514.37,509.74,509.79,36.27666,2020-07-24 23:29:59.999,18535.6933763,77.0,19.83152,10136.4152297,0.0
28,2020-07-24 23:30:00,509.79,517.77,509.79,511.0,14.61331,2020-07-25 00:29:59.999,7504.6751285,51.0,2.65633,1361.3646107,0.0
29,2020-07-25 00:30:00,512.41,513.35,509.32,510.0,34.67222,2020-07-25 01:29:59.999,17723.4974459,44.0,2.66585,1363.6519551,0.0
30,2020-07-25 01:30:00,511.0,512.9,510.1,512.9,21.99704,2020-07-25 02:29:59.999,11258.3222804,40.0,5.9656,3055.1463771,0.0
31,2020-07-25 02:30:00,512.93,516.54,511.57,516.16,29.35975,2020-07-25 03:29:59.999,15075.3810208,55.0,12.68298,6519.7554833,0.0
32,2020-07-25 03:30:00,516.4,519.27,515.57,515.57,83.35716,2020-07-25 04:29:59.999,43084.3424171,158.0,22.406,11596.6466983,0.0
33,2020-07-25 04:30:00,518.82,518.91,514.0,514.0,28.39284,2020-07-25 05:29:59.999,14652.5328187,58.0,11.7217,6060.5190167,0.0
34,2020-07-25 05:30:00,514.0,514.09,512.94,513.15,27.36055,2020-07-25 06:29:59.999,14052.6374473,53.0,5.02039,2578.7194163,0.0
35,2020-07-25 06:30:00,513.15,513.59,508.0,509.07,93.45029,2020-07-25 07:29:59.999,47680.4973979,100.0,43.05677,21975.8965332,0.0
36,2020-07-25 07:30:00,509.25,512.35,506.79,511.45,77.43275,2020-07-25 08:29:59.999,39412.9244188,91.0,22.85971,11656.3285153,0.0
37,2020-07-25 08:30:00,511.45,512.12,505.8,506.85,212.61006,2020-07-25 09:29:59.999,108225.6309836,198.0,111.95279,57058.2987442,0.0
38,2020-07-25 09:30:00,506.85,509.17,505.19,508.68,76.58019,2020-07-25 10:29:59.999,38789.0645291,67.0,28.85647,14643.5716469,0.0
39,2020-07-25 10:30:00,509.08,509.19,506.05,509.15,14.37559,2020-07-25 11:29:59.999,7307.8724029,40.0,10.08755,5128.9093953,0.0
40,2020-07-25 11:30:00,506.61,508.3,500.35,504.54,210.66247,2020-07-25 12:29:59.999,106129.9751996,231.0,74.18277,37410.7093064,0.0
41,2020-07-25 12:30:00,502.58,505.25,500.52,505.25,40.61494,2020-07-25 13:29:59.999,20391.5712767,40.0,19.13363,9620.3004088,0.0
42,2020-07-25 13:30:00,505.25,507.87,504.06,507.86,22.53903,2020-07-25 14:29:59.999,11401.2792702,48.0,21.00806,10627.6681935,0.0
43,2020-07-25 14:30:00,507.85,511.88,503.99,509.28,69.2878,2020-07-25 15:29:59.999,35190.5692034,112.0,52.70925,26821.5200685,0.0
