,OpenTime,ONT-USD_Open,ONT-USD_High,ONT-USD_Low,ONT-USD_Close,ONT-USD_volume,CloseTime,ONT-QuoteAssetVolume,ONT-NumberOfTrades,ONT-TBBAV,ONT-TBQAV,ONT-ignore
0,2018-06-08 12:30:00,8.335,8.642,8.26,8.29,39778.821,2018-06-08 13:29:59.999,335813.500999,865.0,15892.027,134716.400823,0.0
1,2018-06-08 13:30:00,8.331,8.331,8.202,8.293,16771.15,2018-06-08 14:29:59.999,138818.729747,274.0,5749.57,47666.409903,0.0
2,2018-06-08 14:30:00,8.293,8.32,8.17,8.205,9852.544,2018-06-08 15:29:59.999,81247.675055,274.0,2065.819,17001.475209,0.0
3,2018-06-08 15:30:00,8.205,8.329,8.02,8.051,25611.378,2018-06-08 16:29:59.999,207472.212678,547.0,15791.444,127964.270283,0.0
4,2018-06-08 16:30:00,8.039,8.292,8.01,8.161,49478.311,2018-06-08 17:29:59.999,405095.675946,701.0,24176.511,198354.172721,0.0
5,2018-06-08 17:30:00,8.157,8.266,8.14,8.17,77955.318,2018-06-08 18:29:59.999,638418.359695,712.0,47944.689,392912.272047,0.0
6,2018-06-08 18:30:00,8.204,8.403,8.173,8.368,77237.658,2018-06-08 19:29:59.999,637092.130934,739.0,54840.904,451638.894505,0.0
7,2018-06-08 19:30:00,8.369,8.37,8.203,8.301,81967.884,2018-06-08 20:29:59.999,680855.484811,798.0,44594.617,370347.23273,0.0
8,2018-06-08 20:30:00,8.305,8.34,8.109,8.34,72197.652,2018-06-08 21:29:59.999,594519.699344,793.0,45380.868,373655.71349,0.0
9,2018-06-08 21:30:00,8.34,8.522,8.32,8.442,103045.815,2018-06-08 22:29:59.999,870682.436869,1540.0,54191.971,458247.473623,0.0
10,2018-06-08 22:30:00,8.442,8.6,8.438,8.522,134104.081,2018-06-08 23:29:59.999,1144544.243924,1430.0,73025.425,622972.451666,0.0
11,2018-06-08 23:30:00,8.517,8.549,8.434,8.483,72877.825,2018-06-09 00:29:59.999,618583.671258,736.0,48235.426,409342.53295,0.0
12,2018-06-09 00:30:00,8.489,8.51,8.441,8.491,86726.038,2018-06-09 01:29:59.999,734758.131832,584.0,39831.987,337567.65695,0.0
13,2018-06-09 01:30:00,8.492,8.533,8.44,8.498,92572.229,2018-06-09 02:29:59.999,786020.469739,601.0,46224.575,392657.153632,0.0
14,2018-06-09 02:30:00,8.498,8.501,8.342,8.399,53708.768,2018-06-09 03:29:59.999,453729.974923,521.0,40486.43,342152.576622,0.0
15,2018-06-09 03:30:00,8.375,8.452,8.277,8.366,96807.827,2018-06-09 04:29:59.999,812382.236941,647.0,54545.19,458059.930223,0.0
16,2018-06-09 04:30:00,8.351,8.351,8.23,8.28,67725.659,2018-06-09 05:29:59.999,561247.745623,503.0,53308.416,441712.249698,0.0
